QUERY: berapa biaya TI gelombang 1A
   8. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.528
   9. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.526
  10. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.525

QUERY: berapa biaya DNUI
   1. rincian Biaya DNUI Tahun Ajaran 2026-2027.pdf           | BIAYA     | COST     | comp=2.428
   2. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | COST     | comp=1.896
   3. rincian Biaya SK Tahun Ajaran 2026-2027.pdf             | BIAYA     | COST     | comp=1.895
   4. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.456
   5. rincian Biaya SK Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.451
   6. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | PROGRAM  | comp=1.451
   7. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | PROGRAM  | comp=1.443
   8. rincian Biaya DNUI Tahun Ajaran 2026-2027.pdf           | BIAYA     | GENERAL  | comp=1.400
   9. rincian Biaya D3 Tahun Ajaran 2026-2027.pdf             | BIAYA     | GENERAL  | comp=1.392
  10. PEDOMAN-RPL-SK Sistem Komputer.pdf                      | BIAYA     | PROGRAM  | comp=1.391

QUERY: berapa biaya HELP
   1. rincian Biaya HELP Tahun Ajaran 2026-2027.pdf           | BIAYA     | COST     | comp=2.278
   2. rincian Biaya SK Tahun Ajaran 2026-2027.pdf             | BIAYA     | COST     | comp=1.516
   3. rincian Biaya SI,TI dan BD Tahun Ajaran 2026-2027.pdf   | BIAYA     | COST     | comp=1.514
   4. rincian Biaya UTB Tahun Ajaran 2026-2027.pdf            | BIAYA     | COST     | comp=1.511
